ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT2G25880	4.35	9.88	2.272	1.184	0.324	0.899
AT2G25900	76.72	101.3	1.32	0.401	0.365	0.939
AT2G25910	76.45	39.48	0.516	-0.953	0.0558	0.361
AT2G25920	4.85	4.69	0.968	-0.047	1	1
AT2G25930	80.44	44.83	0.557	-0.843	0.0176	0.164
AT2G25940	2.54	4.5	1.775	0.828	0.699	1
AT2G25950	7.39	13.22	1.789	0.839	0.38	0.943
AT2G25964	9.7	15.12	1.559	0.641	0.451	0.998
AT2G25970	52.98	94.91	1.791	0.841	0.0143	0.141
AT2G25980	92.09	52.62	0.571	-0.807	0.0217	0.19
AT2G26000	8.11	6.53	0.804	-0.314	0.888	1
AT2G26030	8.61	6.76	0.785	-0.349	0.792	1
AT2G26040	0	1.22	Inf	Inf	0.727	1
AT2G26060	37.52	63.46	1.691	0.758	0.172	0.69
AT2G26070	6.03	16.16	2.681	1.423	0.11	0.551
AT2G26080	293.07	145.65	0.497	-1.009	9.83E-06	0.00037
AT2G26100	3.04	8.29	2.729	1.449	0.286	0.861
AT2G26110	27.1	14.68	0.542	-0.884	0.156	0.657
AT2G26140	113.11	108.09	0.956	-0.066	0.822	1
AT2G26150	0	0.79	Inf	Inf	0.896	1
AT2G26170	25.2	8.71	0.346	-1.532	0.0274	0.223
AT2G26180	6.84	10.55	1.541	0.624	0.538	1
AT2G26190	47.81	24.8	0.519	-0.947	0.0453	0.315
AT2G26200	9.11	21.56	2.367	1.243	0.104	0.531
AT2G26210	8.57	11.28	1.317	0.397	0.696	1
AT2G26230	30.18	26.09	0.864	-0.21	0.733	1
AT2G26240	15.41	13.35	0.866	-0.207	0.845	1
AT2G26250	6.16	46.52	7.548	2.916	1.12E-05	0.00042
AT2G26260	13.5	14.27	1.057	0.079	0.937	1
AT2G26267	0.59	0.73	1.244	0.315	1	1
AT2G26270	2.99	8.29	2.771	1.47	0.287	0.864
AT2G26280	127.66	127.84	1.001	0.002	1	1
AT2G26290	16.45	27.46	1.669	0.739	0.293	0.871
AT2G26300	56.15	89.3	1.59	0.669	0.0502	0.339
AT2G26310	4.94	4.68	0.948	-0.078	1	1
AT2G26340	7.84	3.42	0.436	-1.198	0.364	0.939
AT2G26350	15.14	8.46	0.559	-0.839	0.296	0.871
AT2G26360	5.57	7.25	1.3	0.379	0.817	1
AT2G26370	15.36	13.83	0.9	-0.151	0.891	1
AT2G26380	0	0.43	Inf	Inf	1	1
AT2G26390	1.81	1.28	0.704	-0.506	0.952	1
AT2G26400	6.8	2.07	0.304	-1.716	0.241	0.809
AT2G26410	6.93	3.29	0.474	-1.077	0.63	1
AT2G26420	9.06	0.79	0.087	-3.516	0.0224	0.195
AT2G26430	41.1	41.73	1.015	0.022	1	1
AT2G26440	0.59	3.84	6.522	2.705	0.327	0.903
AT2G26460	10.6	11.94	1.126	0.171	0.881	1
AT2G26470	6.25	16.53	2.643	1.402	0.135	0.613
AT2G26480	6.03	42.7	7.084	2.825	1.81E-05	0.000636
AT2G26500	4.31	1.64	0.382	-1.39	0.476	0.999
AT2G26510	41.15	19.93	0.484	-1.046	0.0543	0.354
AT2G26530	14.68	14.43	0.983	-0.025	1	1
AT2G26540	4.31	2.26	0.525	-0.931	0.673	1
AT2G26550	9.29	5.24	0.564	-0.827	0.467	0.999
AT2G26560	0.59	0.73	1.244	0.315	1	1
AT2G26570	85.06	36.51	0.429	-1.22	0.000996	0.0184
AT2G26590	19.53	29.18	1.494	0.579	0.344	0.918
AT2G26600	32.04	10.85	0.339	-1.562	0.0244	0.206
AT2G26640	29.09	22.37	0.769	-0.379	0.5	1
AT2G26650	84.88	50.79	0.598	-0.741	0.0895	0.486
AT2G26660	13.5	7.18	0.531	-0.912	0.351	0.925
AT2G26670	64.4	89.35	1.388	0.472	0.153	0.65
AT2G26680	9.92	12.31	1.24	0.31	0.754	1
AT2G26690	46.27	27.79	0.601	-0.735	0.115	0.565
AT2G26695	0	1.89	Inf	Inf	0.491	1
AT2G26700	3.08	3.48	1.128	0.174	1	1
AT2G26710	11.1	38.2	3.44	1.783	0.00291	0.0424
AT2G26730	53.7	25.26	0.47	-1.088	0.0123	0.126
AT2G26740	0.59	0.79	1.344	0.427	1	1
AT2G26750	0.59	0.79	1.344	0.427	1	1
AT2G26760	21.3	68.57	3.219	1.687	0.000156	0.00411
AT2G26770	31.72	49.65	1.565	0.646	0.162	0.67
AT2G26780	98.43	118.37	1.203	0.266	0.368	0.942
AT2G26790	1.18	6.22	5.277	2.4	0.198	0.737
AT2G26800	29.95	31.79	1.061	0.086	0.943	1
AT2G26810	6.07	11.4	1.877	0.908	0.386	0.948
AT2G26820	4.26	0.79	0.186	-2.427	0.274	0.848
AT2G26830	14.05	18.45	1.314	0.393	0.632	1
AT2G26840	1.86	4.27	2.297	1.2	0.561	1
AT2G26860	1.81	10.72	5.915	2.564	0.0563	0.362
AT2G26870	0	2.01	Inf	Inf	0.474	0.999
AT2G26890	204.97	211.15	1.03	0.043	0.857	1
AT2G26900	20.12	11.27	0.56	-0.837	0.229	0.786
AT2G26910	7.25	12.57	1.733	0.793	0.441	0.989
AT2G26920	40.47	44	1.087	0.121	0.852	1
AT2G26930	3.58	2.74	0.766	-0.384	0.9	1
AT2G26970	9.24	3.78	0.409	-1.289	0.301	0.877
AT2G26975	0.59	0	0	NA	0.932	1
AT2G26980	35.89	16.46	0.459	-1.125	0.136	0.615
AT2G26990	59.23	69.63	1.176	0.233	0.559	1
AT2G27000	67.21	68.44	1.018	0.026	0.931	1
AT2G27010	28.96	30.42	1.05	0.071	0.888	1
AT2G27020	28.5	30.28	1.062	0.087	0.946	1
AT2G27030	88.1	63.8	0.724	-0.465	0.171	0.687
AT2G27040	11.6	33.41	2.88	1.526	0.0127	0.129
AT2G27050	89.82	94.19	1.049	0.068	0.808	1
AT2G27060	15.95	29.37	1.841	0.88	0.148	0.64
AT2G27080	4.98	6.7	1.345	0.427	0.776	1
AT2G27090	32.49	46.02	1.416	0.502	0.262	0.833
AT2G27100	27.96	49.5	1.77	0.824	0.0739	0.434
AT2G27110	28.14	25.33	0.9	-0.152	0.778	1
AT2G27120	8.34	13.67	1.639	0.713	0.616	1
AT2G27130	3.63	2.32	0.639	-0.646	0.802	1
AT2G27140	12.33	8.48	0.688	-0.54	0.606	1
AT2G27150	34.49	28.11	0.815	-0.295	0.666	1
AT2G27170	53.84	72.54	1.347	0.43	0.318	0.891
AT2G27180	1.22	0.37	0.3	-1.739	0.856	1
AT2G27190	19.71	16.82	0.853	-0.229	0.79	1
AT2G27200	3.58	9.39	2.622	1.391	0.269	0.843
AT2G27210	36.98	41.74	1.129	0.175	0.747	1
AT2G27229	0	0.37	Inf	Inf	1	1
AT2G27260	5.48	13.83	2.522	1.335	0.172	0.69
AT2G27280	0	0.37	Inf	Inf	1	1
AT2G27285	14.14	26.02	1.84	0.88	0.169	0.685
AT2G27290	6.07	2.01	0.331	-1.595	0.304	0.878
AT2G27300	0	0.43	Inf	Inf	1	1
AT2G27310	35.26	8.46	0.24	-2.058	0.000757	0.0149
AT2G27330	8.47	8.29	0.978	-0.032	1	1
AT2G27340	4.31	3.48	0.807	-0.309	0.948	1
AT2G27350	39.29	47.18	1.201	0.264	0.53	1
AT2G27360	16.77	12.5	0.745	-0.424	0.66	1
AT2G27370	23.2	5.85	0.252	-1.987	0.00955	0.104
AT2G27380	0	2.07	Inf	Inf	0.466	0.999
AT2G27389	4.26	1.89	0.444	-1.171	0.575	1
AT2G27402	0	0.85	Inf	Inf	0.886	1
AT2G27430	6.21	6.66	1.072	0.1	0.959	1
AT2G27450	35.71	39.67	1.111	0.152	0.744	1
AT2G27460	19.58	19.7	1.006	0.009	1	1
AT2G27470	3.67	8.41	2.29	1.195	0.365	0.939
AT2G27480	5.66	2.01	0.355	-1.495	0.514	1
AT2G27490	4.89	12.38	2.529	1.339	0.188	0.719
AT2G27500	23.84	8.23	0.345	-1.535	0.0321	0.25
AT2G27505	0.63	0	0	NA	0.932	1
AT2G27510	33.58	30.3	0.902	-0.148	0.819	1
AT2G27530	207.56	324.51	1.563	0.645	0.00306	0.044
AT2G27535	0	0.37	Inf	Inf	1	1
AT2G27550	12.33	4.88	0.396	-1.336	0.207	0.748
AT2G27570	0.59	0	0	NA	0.932	1
AT2G27580	14.68	7.55	0.514	-0.959	0.266	0.838
AT2G27590	11.6	16.09	1.387	0.472	0.566	1
AT2G27600	112.71	107	0.949	-0.075	0.79	1
AT2G27610	1.77	8.41	4.756	2.25	0.14	0.625
AT2G27630	0.59	1.28	2.167	1.116	0.984	1
AT2G27650	0	2.01	Inf	Inf	0.474	0.999
AT2G27660	47.13	19.15	0.406	-1.299	0.0105	0.112
AT2G27680	10.47	8.54	0.815	-0.294	0.829	1
AT2G27690	0	6.22	Inf	Inf	0.0432	0.304
AT2G27700	4.26	3.11	0.73	-0.454	0.86	1
AT2G27710	60.41	61.13	1.012	0.017	0.982	1
AT2G27720	79.03	115.3	1.459	0.545	0.0733	0.432
AT2G27730	92.95	75.97	0.817	-0.291	0.337	0.913
AT2G27740	5.48	1.22	0.222	-2.171	0.222	0.773
AT2G27760	1.77	13.16	7.444	2.896	0.0214	0.189
AT2G27770	7.25	13.54	1.867	0.901	0.332	0.908
AT2G27775	4.26	4.69	1.102	0.14	1	1
AT2G27780	0	1.1	Inf	Inf	0.75	1
AT2G27790	3.04	1.53	0.502	-0.993	0.729	1
AT2G27800	0	8.23	Inf	Inf	0.014	0.139
AT2G27810	7.93	16.65	2.099	1.07	0.197	0.737
AT2G27820	27.46	39.7	1.446	0.532	0.306	0.878
AT2G27830	12.73	26.8	2.105	1.074	0.11	0.549
AT2G27840	8.43	49.59	5.883	2.557	1.47E-05	0.000532
AT2G27860	151.23	125.28	0.828	-0.272	0.297	0.875
AT2G27900	78.04	69.43	0.89	-0.169	0.652	1
AT2G27920	7.43	17.3	2.327	1.219	0.15	0.644
AT2G27930	2.4	0.37	0.153	-2.712	0.47	0.999
AT2G27950	43.01	56.25	1.308	0.387	0.339	0.913
AT2G27960	19.58	7.25	0.37	-1.434	0.0621	0.387
AT2G27970	9.83	17.24	1.753	0.81	0.323	0.899
AT2G27980	21.44	29.68	1.385	0.47	0.404	0.964
AT2G28000	83.25	203.18	2.441	1.287	1.65E-06	7.79E-05
AT2G28010	0	0.43	Inf	Inf	1	1
AT2G28020	1.22	0.37	0.3	-1.739	0.856	1
AT2G28040	0	0.43	Inf	Inf	1	1
AT2G28050	0.59	4.26	7.223	2.853	0.538	1
AT2G28060	10.97	6.58	0.6	-0.736	0.482	0.999
AT2G28070	17.36	37.17	2.141	1.099	0.0438	0.307
AT2G28080	15.91	19.39	1.219	0.286	0.684	1
AT2G28100	3.72	3.11	0.837	-0.257	0.997	1
AT2G28105	1.18	1.83	1.555	0.637	0.948	1
AT2G28110	50.21	29.6	0.59	-0.762	0.0837	0.465
AT2G28120	22.75	13.1	0.576	-0.796	0.238	0.804
AT2G28130	11.1	13.04	1.174	0.232	0.818	1
AT2G28140	0	1.28	Inf	Inf	0.716	1
AT2G28150	17.85	9.14	0.512	-0.966	0.217	0.767
AT2G28160	26.42	6.03	0.228	-2.132	0.00315	0.045
AT2G28190	27.96	36.07	1.29	0.367	0.502	1
AT2G28200	19.94	19.01	0.953	-0.069	0.995	1
AT2G28230	10.38	8.46	0.816	-0.294	0.777	1
AT2G28240	2.99	7.42	2.482	1.312	0.478	0.999
AT2G28250	44.46	39.7	0.893	-0.163	0.77	1
AT2G28260	6.07	3.72	0.613	-0.705	0.681	1
AT2G28290	393.13	380.43	0.968	-0.047	0.839	1
AT2G28305	1.81	1.22	0.672	-0.574	0.949	1
AT2G28310	21.34	23.29	1.091	0.126	0.854	1
AT2G28315	4.89	2.2	0.449	-1.154	0.559	1
AT2G28320	29.68	16.02	0.54	-0.89	0.117	0.57
AT2G28330	6.75	3.72	0.552	-0.859	0.586	1
AT2G28350	20.12	20.48	1.018	0.025	1	1
AT2G28360	42.1	35.38	0.84	-0.251	0.557	1
AT2G28370	34.76	21.44	0.617	-0.697	0.184	0.712
AT2G28380	29.32	49.66	1.694	0.76	0.0984	0.517
AT2G28390	32.18	19.09	0.593	-0.753	0.218	0.767
AT2G28400	2.49	3.59	1.442	0.528	0.863	1
AT2G28410	4.17	2.13	0.51	-0.97	0.632	1
AT2G28426	0.63	0	0	NA	0.932	1
AT2G28430	11.74	11.88	1.012	0.018	1	1
AT2G28440	1.27	0.37	0.289	-1.792	0.857	1
AT2G28450	42.83	55.41	1.294	0.372	0.358	0.934
AT2G28460	9.83	15.53	1.58	0.66	0.44	0.987
AT2G28470	47.81	65.55	1.371	0.455	0.275	0.849
AT2G28480	6.07	5.3	0.872	-0.197	0.914	1
AT2G28510	20.62	15.4	0.747	-0.421	0.499	1
AT2G28520	50.76	49.2	0.969	-0.045	0.901	1
AT2G28540	25.79	30.51	1.183	0.243	0.699	1
AT2G28550	38.93	34.2	0.879	-0.187	0.727	1
AT2G28570	14.5	31.62	2.181	1.125	0.0669	0.406
AT2G28590	7.3	3.53	0.484	-1.046	0.435	0.982
AT2G28600	6.16	19.86	3.222	1.688	0.0419	0.299
AT2G28605	1.18	0	0	NA	0.638	1
AT2G28620	13.73	47.16	3.434	1.78	0.00125	0.0218
AT2G28630	1.81	2.92	1.611	0.688	0.891	1
AT2G28650	0.63	0.85	1.342	0.424	1	1
AT2G28660	11.69	20.61	1.762	0.818	0.246	0.813
AT2G28670	215.4	86.05	0.4	-1.324	3.40E-07	1.91E-05
AT2G28690	4.26	116.03	27.238	4.768	1.36E-09	1.26E-07
AT2G28700	0	0.73	Inf	Inf	0.906	1
AT2G28710	2.45	1.89	0.773	-0.372	1	1
AT2G28720	7.34	7.38	1.005	0.007	1	1
AT2G28740	19.44	28.36	1.459	0.545	0.437	0.984
AT2G28755	0	2.07	Inf	Inf	0.466	0.999
AT2G28760	7.93	23.1	2.913	1.542	0.0392	0.287
AT2G28780	37.43	19.58	0.523	-0.935	0.219	0.77
AT2G28790	4.94	4.56	0.924	-0.114	0.997	1
AT2G28800	57.46	49.97	0.87	-0.202	0.635	1
AT2G28810	12.78	13.47	1.054	0.075	0.997	1
AT2G28830	15.91	22.47	1.413	0.499	0.483	1
AT2G28840	144.97	132.43	0.913	-0.131	0.665	1
AT2G28850	12.42	3.65	0.294	-1.765	0.123	0.581
AT2G28860	26.83	9.52	0.355	-1.495	0.314	0.886
AT2G28870	0.59	1.47	2.488	1.315	0.864	1
AT2G28880	11.24	6.1	0.543	-0.882	0.67	1
AT2G28890	125.57	65.17	0.519	-0.946	0.00263	0.0392
AT2G28900	3.08	7.14	2.317	1.212	0.446	0.992
AT2G28910	148.1	189.4	1.279	0.355	0.16	0.665
AT2G28930	3.17	6.76	2.132	1.092	0.446	0.992
AT2G28940	20.8	15.34	0.738	-0.439	0.5	1
AT2G28950	6.12	9.88	1.615	0.692	0.51	1
AT2G28960	27.51	19.92	0.724	-0.466	0.42	0.97
AT2G28970	12.78	5.73	0.449	-1.156	0.241	0.809
AT2G28990	12.82	13.9	1.084	0.116	0.912	1
AT2G29000	1.22	0	0	NA	0.634	1
AT2G29020	42.64	29.91	0.701	-0.512	0.262	0.833
AT2G29050	6.66	9.4	1.411	0.497	0.713	1
AT2G29060	28.64	18.05	0.63	-0.666	0.278	0.852
AT2G29065	7.34	14.02	1.91	0.933	0.301	0.877
AT2G29070	11.56	2.8	0.242	-2.044	0.0653	0.399
AT2G29080	107.86	112.79	1.046	0.065	0.831	1
AT2G29110	0	0.37	Inf	Inf	1	1
AT2G29125	0.63	0.43	0.671	-0.576	1	1
AT2G29130	4.26	1.89	0.444	-1.171	0.575	1
AT2G29140	83.57	145.4	1.74	0.799	0.00584	0.0729
AT2G29180	0.63	0	0	NA	0.932	1
AT2G29190	87.6	144.3	1.647	0.72	0.0131	0.132
AT2G29200	81.44	164.86	2.024	1.017	0.000333	0.00771
AT2G29210	36.25	36.99	1.02	0.029	0.968	1
AT2G29260	1.86	1.53	0.821	-0.285	1	1
AT2G29290	0.59	1.7	2.889	1.531	0.842	1
AT2G29300	0	0.43	Inf	Inf	1	1
AT2G29320	0	2.74	Inf	Inf	0.311	0.883
AT2G29330	14.77	20.52	1.389	0.474	0.522	1
AT2G29340	1.22	2.07	1.691	0.758	0.93	1
AT2G29380	0	0.73	Inf	Inf	0.906	1
AT2G29390	17.49	17.18	0.982	-0.026	0.971	1
AT2G29400	107.72	93.57	0.869	-0.203	0.485	1
AT2G29410	0	1.16	Inf	Inf	0.738	1
AT2G29420	20.89	10.91	0.522	-0.937	0.201	0.741
AT2G29440	23.16	10.97	0.474	-1.078	0.117	0.57
AT2G29450	47.04	13.71	0.292	-1.778	0.0372	0.277
AT2G29460	1.18	3.9	3.311	1.727	0.483	1
AT2G29470	0.59	1.1	1.866	0.9	0.997	1
AT2G29480	2.36	0.85	0.361	-1.469	0.672	1
AT2G29490	18.85	4.2	0.223	-2.167	0.0098	0.106
AT2G29500	5.39	3.29	0.609	-0.715	0.628	1
AT2G29510	52.25	83	1.589	0.668	0.0582	0.37
AT2G29525	3.13	2.8	0.896	-0.158	1	1
AT2G29530	20.17	27.1	1.344	0.426	0.55	1
AT2G29540	4.21	15.47	3.672	1.876	0.0589	0.374
AT2G29550	79.71	105.05	1.318	0.398	0.217	0.766
AT2G29560	28.41	22.86	0.805	-0.314	0.662	1
AT2G29570	19.35	23.03	1.19	0.251	0.751	1
AT2G29580	4.76	6.21	1.304	0.383	0.929	1
AT2G29590	6.8	3.65	0.537	-0.896	0.517	1
AT2G29605	0.63	0	0	NA	0.932	1
AT2G29620	24.97	5.41	0.217	-2.205	0.00257	0.0387
AT2G29630	7.84	8.52	1.087	0.121	1	1
AT2G29640	2.4	1.7	0.709	-0.497	0.894	1
AT2G29650	5.53	0	0	NA	0.0339	0.26
AT2G29660	22.43	6.72	0.299	-1.74	0.0249	0.209
AT2G29670	7.98	6.53	0.818	-0.289	0.878	1
AT2G29680	2.99	13.95	4.664	2.222	0.045	0.313
AT2G29690	11.69	18.34	1.568	0.649	0.401	0.961
AT2G29700	20.17	12.91	0.64	-0.644	0.343	0.916
AT2G29710	6.07	2.86	0.471	-1.086	0.453	0.998
AT2G29720	2.4	3.42	1.422	0.508	0.875	1
AT2G29730	24.56	8.65	0.352	-1.505	0.0327	0.254
AT2G29740	16.86	6.94	0.412	-1.281	0.371	0.942
AT2G29750	65.08	15.91	0.245	-2.032	1.40E-05	0.000509
AT2G29760	5.62	6.51	1.159	0.213	0.945	1
AT2G29820	0	0.37	Inf	Inf	1	1
AT2G29850	0.63	0	0	NA	0.932	1
AT2G29890	15.32	18.3	1.195	0.257	0.728	1
AT2G29900	6.71	7.01	1.045	0.064	1	1
AT2G29910	6.8	6.51	0.958	-0.062	1	1
AT2G29940	0.59	6.82	11.578	3.533	0.0885	0.482
AT2G29950	1.81	0.37	0.202	-2.306	0.638	1
AT2G29960	66.66	44.44	0.667	-0.585	0.14	0.624
AT2G29970	34.08	30.68	0.9	-0.152	0.803	1
AT2G29980	80.44	104.54	1.3	0.378	0.22	0.772
AT2G29990	8.47	8.3	0.979	-0.03	1	1
AT2G29995	6.16	6.03	0.978	-0.032	1	1
AT2G30000	16.9	18.95	1.121	0.165	0.877	1
AT2G30010	0.59	1.16	1.966	0.976	0.993	1
AT2G30020	11.24	22.07	1.964	0.974	0.199	0.738
AT2G30040	6.12	36.36	5.944	2.571	0.000183	0.00473
AT2G30050	59.73	77	1.289	0.366	0.335	0.912
AT2G30060	52.03	54.78	1.053	0.075	0.913	1
AT2G30070	12.82	40.86	3.186	1.672	0.0574	0.368
AT2G30080	0	0.85	Inf	Inf	0.886	1
AT2G30100	18.31	13.04	0.712	-0.49	0.508	1
AT2G30105	11.06	11.09	1.003	0.004	1	1
AT2G30110	267.55	268.45	1.003	0.005	0.985	1
AT2G30120	7.43	3.48	0.468	-1.096	0.435	0.982
AT2G30130	0	2.49	Inf	Inf	0.371	0.942
AT2G30140	3.13	7.55	2.416	1.273	0.356	0.933
AT2G30150	2.4	2.01	0.837	-0.257	1	1
AT2G30160	10.42	16.38	1.572	0.653	0.436	0.983
AT2G30170	1.18	6.27	5.317	2.411	0.405	0.965
AT2G30200	18.99	18.58	0.979	-0.031	1	1
AT2G30210	91.54	19.3	0.211	-2.245	5.99E-05	0.00183
AT2G30220	0	0.73	Inf	Inf	0.906	1
AT2G30230	11.15	1.64	0.147	-2.762	0.0265	0.218
AT2G30250	32.4	31.87	0.984	-0.024	1	1
AT2G30260	28.1	38.07	1.355	0.438	0.413	0.97
AT2G30270	6.07	4.14	0.681	-0.554	0.687	1
AT2G30280	6.21	11.46	1.845	0.884	0.382	0.945
AT2G30300	0	0.73	Inf	Inf	0.906	1
AT2G30310	0	0.73	Inf	Inf	0.906	1
AT2G30320	3.72	5.12	1.378	0.462	0.816	1
AT2G30330	10.88	4.33	0.398	-1.33	0.209	0.749
AT2G30340	11.42	5.54	0.485	-1.042	0.286	0.863
AT2G30350	6.03	7.61	1.263	0.337	0.863	1
AT2G30360	43.41	35.21	0.811	-0.302	0.493	1
AT2G30370	0.59	1.7	2.889	1.531	0.842	1
AT2G30380	0	1.83	Inf	Inf	0.546	1
AT2G30390	7.84	9.5	1.212	0.278	0.862	1
AT2G30395	6.16	2.2	0.357	-1.487	0.377	0.943
AT2G30400	1.86	2.98	1.603	0.681	0.898	1
AT2G30410	18.67	14.45	0.774	-0.37	0.739	1
AT2G30440	91.59	108.25	1.182	0.241	0.46	0.999
AT2G30460	17.31	16.81	0.971	-0.042	1	1
AT2G30470	25.79	32.49	1.26	0.333	0.527	1
AT2G30480	9.02	5.49	0.608	-0.717	0.522	1
AT2G30490	520.38	237.49	0.456	-1.132	0.000898	0.0171
AT2G30500	92.77	82.69	0.891	-0.166	0.61	1
AT2G30505	2.36	2.01	0.853	-0.23	1	1
AT2G30520	257.49	61.2	0.238	-2.073	1.73E-15	3.33E-13
AT2G30530	12.46	26.08	2.093	1.065	0.0987	0.518
AT2G30550	14.82	6.16	0.416	-1.267	0.173	0.691
AT2G30570	6.8	1.89	0.278	-1.845	0.242	0.809
AT2G30575	2.99	6.09	2.035	1.025	0.557	1
AT2G30580	12.19	10.3	0.845	-0.244	0.811	1
AT2G30590	9.83	16.65	1.693	0.759	0.333	0.908
AT2G30600	141.62	96.34	0.68	-0.556	0.0491	0.334
AT2G30620	244.22	146.44	0.6	-0.738	0.00198	0.0317
AT2G30630	0	0.43	Inf	Inf	1	1
AT2G30650	0	0.37	Inf	Inf	1	1
AT2G30670	1.27	5.66	4.463	2.158	0.256	0.824
AT2G30695	2.4	2.86	1.191	0.252	1	1
AT2G30700	17.63	25.97	1.473	0.559	0.362	0.937
AT2G30710	22.39	21.46	0.958	-0.061	0.954	1
AT2G30720	10.2	10.24	1.004	0.006	1	1
AT2G30730	8.02	9.39	1.17	0.227	0.86	1
AT2G30740	56.01	49.24	0.879	-0.186	0.644	1
AT2G30750	0.59	0.79	1.344	0.427	1	1
AT2G30780	18.04	30.33	1.682	0.75	0.258	0.828
AT2G30790	1.18	0	0	NA	0.638	1
AT2G30800	43.05	44.79	1.04	0.057	0.943	1
AT2G30840	11.01	10.6	0.963	-0.054	1	1
AT2G30860	615.68	133.51	0.217	-2.205	2.08E-15	3.83E-13
AT2G30870	455.99	209.85	0.46	-1.12	3.17E-08	2.17E-06
AT2G30880	29.23	33.76	1.155	0.208	0.71	1
AT2G30890	0.63	0.73	1.155	0.208	1	1
AT2G30910	11.74	9.94	0.847	-0.239	0.884	1
AT2G30920	11.65	5.67	0.487	-1.037	0.329	0.905
AT2G30930	31.95	3.59	0.112	-3.152	2.22E-05	0.000764
AT2G30933	1.22	0.73	0.599	-0.739	1	1
AT2G30942	0.59	0.73	1.244	0.315	1	1
AT2G30950	116.06	71.33	0.615	-0.702	0.0266	0.219
AT2G30960	6.75	7.07	1.047	0.066	1	1
AT2G30970	73.41	70.48	0.96	-0.059	0.938	1
AT2G30980	31.72	28.59	0.901	-0.15	0.806	1
AT2G30990	26.6	10.91	0.41	-1.286	0.0994	0.52
AT2G31005	0.59	0	0	NA	0.932	1
AT2G31010	13.37	13.22	0.989	-0.017	1	1
AT2G31020	60.18	18.58	0.309	-1.695	0.000242	0.00591
AT2G31030	7.3	0	0	NA	0.00977	0.106
AT2G31040	4.76	3.48	0.73	-0.453	0.82	1
AT2G31060	24.43	44.6	1.826	0.869	0.0777	0.448
AT2G31083	1.27	1.53	1.202	0.265	1	1
AT2G31085	4.31	1.1	0.255	-1.969	0.375	0.943
AT2G31090	5.57	1.53	0.274	-1.87	0.299	0.876
AT2G31110	3.72	2.38	0.639	-0.645	0.805	1
AT2G31130	13.37	8.89	0.665	-0.589	0.483	1
AT2G31140	25.02	18.82	0.752	-0.411	0.488	1
AT2G31141	6134.83	5244.97	0.855	-0.226	0.115	0.563
AT2G31150	5.62	6.21	1.104	0.143	1	1
AT2G31160	1.22	1.1	0.899	-0.154	1	1
AT2G31170	3.58	5.97	1.668	0.738	0.681	1
AT2G31180	3.72	2.68	0.722	-0.47	0.902	1
AT2G31190	3.72	6.29	1.693	0.759	0.705	1
AT2G31200	28.64	13.89	0.485	-1.044	0.35	0.924
AT2G31210	0.59	0	0	NA	0.932	1
AT2G31220	0.59	0	0	NA	0.932	1
AT2G31230	6.71	5.18	0.772	-0.373	0.807	1
AT2G31240	9.11	25.3	2.777	1.474	0.0368	0.275
AT2G31250	2.4	4.21	1.752	0.809	0.71	1
AT2G31260	31.86	32.98	1.035	0.05	0.919	1
AT2G31270	15.23	27.17	1.784	0.835	0.196	0.735
AT2G31280	22.57	19.86	0.88	-0.184	0.78	1
AT2G31290	4.26	4.93	1.157	0.211	1	1
AT2G31300	10.42	9.87	0.947	-0.078	0.996	1
AT2G31305	2.4	5	2.082	1.058	0.57	1
AT2G31310	1.22	0	0	NA	0.634	1
AT2G31320	9.2	10.41	1.132	0.179	0.922	1
AT2G31340	9.2	10.78	1.172	0.229	0.87	1
AT2G31350	57.46	35.96	0.626	-0.676	0.111	0.553
AT2G31360	32.27	52.89	1.639	0.713	0.112	0.554
AT2G31370	38.75	45.05	1.163	0.218	0.598	1
AT2G31380	7.66	1.1	0.144	-2.8	0.447	0.993
AT2G31390	217.12	234.57	1.08	0.112	0.63	1
AT2G31400	99.29	238.48	2.402	1.264	6.57E-07	3.40E-05
AT2G31410	47.18	105.92	2.245	1.167	0.000765	0.015
AT2G31440	5.94	8.41	1.416	0.502	0.76	1
AT2G31450	5.57	6.28	1.126	0.171	0.953	1
AT2G31470	0	2.26	Inf	Inf	0.399	0.96
AT2G31480	1.18	1.28	1.084	0.116	1	1
AT2G31490	58.37	36.17	0.62	-0.69	0.0814	0.458
AT2G31510	47.4	54	1.139	0.188	0.663	1
AT2G31530	5.57	10.97	1.968	0.977	0.348	0.922
AT2G31560	1.86	2.98	1.603	0.681	0.898	1
AT2G31570	102.24	43	0.421	-1.25	0.000208	0.00528
AT2G31580	13.32	15.36	1.153	0.205	0.848	1
AT2G31590	0	0.37	Inf	Inf	1	1
AT2G31600	6.16	7.61	1.235	0.305	0.859	1
AT2G31610	125.21	215.96	1.725	0.786	0.00165	0.0273
AT2G31650	14.05	9.39	0.668	-0.582	0.513	1
AT2G31660	62.4	160.82	2.577	1.366	3.25E-06	0.000139
AT2G31670	42.19	17.25	0.409	-1.29	0.0135	0.136
AT2G31680	7.84	7.2	0.918	-0.123	0.997	1
AT2G31710	10.51	2.99	0.284	-1.814	0.135	0.613
AT2G31725	5.35	5.79	1.083	0.115	1	1
AT2G31730	1.86	1.64	0.884	-0.177	1	1
AT2G31740	21.89	29.5	1.348	0.43	0.466	0.999
